category,priority,source,agency,name,type,url,primary_use,notes
customs_openapi,core,data.go.kr,관세청,관세청_품목별 국가별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15100475/openapi.do,"HS Code, 국가, 월별 수출입 금액/중량/무역수지 기반 시장 추천","운영계정 심의승인 가능"
customs_openapi,core,data.go.kr,관세청,관세청_품목별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101609/openapi.do,"HS Code 기준 품목별 수출입 트렌드 분석",""
customs_openapi,core,data.go.kr,관세청,관세청_국가별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101612/openapi.do,"국가별 수출입 총량, 목적국/원산국 후보 평가",""
customs_openapi,core,data.go.kr,관세청,관세청_수출입총괄(GW),REST XML,https://www.data.go.kr/data/15102108/openapi.do,"전체 수출입 흐름과 거시 지표",""
customs_openapi,core,data.go.kr,관세청,관세청_세관장확인대상물품(GW),REST XML,https://www.data.go.kr/data/15101589/openapi.do,"HS Code별 신고인 확인법령, 요건승인기관, 인허가 체크",""
customs_openapi,core,data.go.kr,관세청,관세청_관세환율정보(GW),REST XML,https://www.data.go.kr/data/15101230/openapi.do,"관세 과세환율, 원화 환산, 수입원가 계산",""
customs_openapi,core,data.go.kr,관세청,관세청_수입 주요품목별 10일 단위 잠정치 통계,REST XML,https://www.data.go.kr/data/15157901/openapi.do,"주요 수입품목 10일 단위 조기 모니터링",""
customs_openapi,important,data.go.kr,관세청,관세청_신성질별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101616/openapi.do,"신성질 분류 기반 소비재/자본재/원자재 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_신성질별 국가별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101607/openapi.do,"국가별 신성질 분류 수출입 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_성질별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15102109/openapi.do,"성질별 분류 기반 수출입 구조 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_성질별 국가별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15100476/openapi.do,"성질 분류와 국가를 결합한 시장 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_경제권별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101632/openapi.do,"경제권별 수출입 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_시도별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101643/openapi.do,"국내 지역별 수출입 총량 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_시도별 품목별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101641/openapi.do,"국내 시도별 HS 품목 수출입 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_시도별 성질별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101639/openapi.do,"국내 시도별 성질 분류 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_시군구별 수출입실적,REST XML,https://www.data.go.kr/data/15134344/openapi.do,"시군구 단위 수출입 지역 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_시군구별 품목별 수출입실적,REST XML,https://www.data.go.kr/data/15134343/openapi.do,"지역 기업 타깃팅, 지역별 유망 품목 발굴",""
customs_openapi,important,data.go.kr,관세청,관세청_세관별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101633/openapi.do,"세관별 물동량·통관 실적 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_항구 공항별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101636/openapi.do,"항만·공항 단위 물류 거점 분석",""
customs_openapi,support,data.go.kr,관세청,관세청_종류별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101634/openapi.do,"거래종류별 분석",""
customs_openapi,support,data.go.kr,관세청,관세청_해상수출입 운송비용,REST XML,https://www.data.go.kr/data/15129097/openapi.do,"컨테이너당 평균 해상 수출입 운송비용 산정",""
customs_openapi,support,data.go.kr,관세청,관세청_항공 수입 운송비용,REST XML,https://www.data.go.kr/data/15129099/openapi.do,"항공수입 kg당 평균 운송비용 산정",""
customs_openapi,support,data.go.kr/UNI-PASS,관세청,관세청_화물통관진행정보,LINK/UNI-PASS,https://www.data.go.kr/data/15126268/openapi.do,"B/L 또는 화물관리번호 기반 통관 진행상태 조회","UNI-PASS 권한 필요"
customs_openapi,support,data.go.kr/UNI-PASS,관세청,관세청_수출이행내역,LINK/UNI-PASS,https://www.data.go.kr/data/15126269/openapi.do,"수출신고번호 또는 B/L 기반 적재이행내역 조회","UNI-PASS 권한 필요"
customs_file,core,data.go.kr,관세청,관세청_HS부호,XLSX,https://www.data.go.kr/data/15049722/fileData.do,"2026년 기준 HS부호, 한글/영문 품목명, 성질코드, 단위코드",""
customs_file,core,data.go.kr,관세청,관세청_국가별 관세율표,XLSX,https://www.data.go.kr/data/15051176/fileData.do,"교역 상대국 수입관세율표","법적 효력 없는 참고자료"
customs_file,important,data.go.kr,관세청,관세청_품목번호별 관세율표,FILE,https://www.data.go.kr/data/15051176/fileData.do,"HS 품목번호별 관세율 참고","개별 링크 재확인 필요"
customs_file,important,data.go.kr,관세청,관세청_HSK별 신성질별_성질별 분류,FILE,https://www.data.go.kr/data/15101616/openapi.do,"HS Code와 신성질/성질 분류 매핑","개별 링크 재확인 필요"
customs_file,support,data.go.kr,관세청,관세청_AEO 기업 총괄(수출),CSV/API 변환,https://www.data.go.kr/data/15116745/fileData.do,"AEO 인증기업 수출 금액 및 비중",""
customs_file,support,data.go.kr,관세청,관세청_AEO 기업 총괄(수입),CSV/API 변환,https://www.data.go.kr/data/15116853/fileData.do,"AEO 인증기업 수입 건수/금액 및 비중",""
customs_file,support,data.go.kr,관세청,관세청_해상수출입(수입) 운송비용,FILE/API 변환,https://www.data.go.kr/data/15116806/fileData.do,"해상 수입 운송비용 시계열",""
customs_file,support,data.go.kr,관세청,관세청_항공수입 운송비용,FILE/API 변환,https://www.data.go.kr/data/15116807/fileData.do,"항공 수입 운송비용 시계열",""
unipass,candidate,UNI-PASS,관세청,HS부호검색,OpenAPI,https://unipass.customs.go.kr,"품목명 기반 HS 후보 검색","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,간이정액적용비적용업체조회,OpenAPI,https://unipass.customs.go.kr,"환급/간이정액 적용 가능성 확인","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,간이정액환급율표조회,OpenAPI,https://unipass.customs.go.kr,"간이정액환급률 계산","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,검사검역내역조회,OpenAPI,https://unipass.customs.go.kr,"검사·검역 이력 확인","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,관세사내역조회,OpenAPI,https://unipass.customs.go.kr,"관세사 정보 확인","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,관세사목록조회,OpenAPI,https://unipass.customs.go.kr,"관세사 목록 조회","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,관세율기본조회,OpenAPI,https://unipass.customs.go.kr,"기본 관세율 조회","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,관세환율정보조회,OpenAPI,https://unipass.customs.go.kr,"관세환율 조회","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,보세운송차량등록내역조회,OpenAPI,https://unipass.customs.go.kr,"보세운송 차량 정보","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,선박회사내역조회,OpenAPI,https://unipass.customs.go.kr,"선박회사 상세 정보","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,선박회사목록조회,OpenAPI,https://unipass.customs.go.kr,"선박회사 목록","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,세관장확인대상물품조회,OpenAPI,https://unipass.customs.go.kr,"수출입 요건확인","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,수입신고 개인통관고유부호조회,OpenAPI,https://unipass.customs.go.kr,"개인통관고유부호 검증","개인정보·동의 이슈 주의"
unipass,candidate,UNI-PASS,관세청,수입신고필증검증,OpenAPI,https://unipass.customs.go.kr,"수입신고필증 검증","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,수출신고번호별수출이행내역조회,OpenAPI,https://unipass.customs.go.kr,"수출 이행 상태 확인","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,수출이행기간단축대상품목조회,OpenAPI,https://unipass.customs.go.kr,"수출이행기간 단축 대상 여부","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,수출입요건승인내역조회,OpenAPI,https://unipass.customs.go.kr,"요건승인 내역 확인","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,입출항보고내역조회,OpenAPI,https://unipass.customs.go.kr,"선박/항공 입출항 보고 내역","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,입항보고내역조회,OpenAPI,https://unipass.customs.go.kr,"입항 보고 내역","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,장치장정보조회,OpenAPI,https://unipass.customs.go.kr,"장치장 정보","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,컨테이너내역조회,OpenAPI,https://unipass.customs.go.kr,"컨테이너 정보","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,통계부호내역조회,OpenAPI,https://unipass.customs.go.kr,"통계부호 정보","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,통관고유부호조회,OpenAPI,https://unipass.customs.go.kr,"통관고유부호 조회","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,통관단일창구 처리이력조회,OpenAPI,https://unipass.customs.go.kr,"통관단일창구 처리 상태","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,항공사내역조회,OpenAPI,https://unipass.customs.go.kr,"항공사 상세 정보","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,항공사목록조회,OpenAPI,https://unipass.customs.go.kr,"항공사 목록","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,해외공급자부호조회,OpenAPI,https://unipass.customs.go.kr,"해외공급자 부호 확인","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,화물운송주선업자내역조회,OpenAPI,https://unipass.customs.go.kr,"포워더 상세 정보","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,화물운송주선업자목록조회,OpenAPI,https://unipass.customs.go.kr,"포워더 목록","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,화물통관진행정보조회,OpenAPI,https://unipass.customs.go.kr,"수입화물 통관 진행상태","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,농림축산검역본부 동축산물 업체코드 조회,OpenAPI,https://unipass.customs.go.kr,"동축산물 업체코드","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,수출이행내역차대번호조회,OpenAPI,https://unipass.customs.go.kr,"차대번호 기반 수출이행 조회","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,수출입신고 첨부서류 사후제출 유무,OpenAPI,https://unipass.customs.go.kr,"첨부서류 사후제출 여부","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,우편물통관진행정보,OpenAPI,https://unipass.customs.go.kr,"국제우편물 통관 상태","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,우편번호별 관할세관 정보조회,OpenAPI,https://unipass.customs.go.kr,"우편번호별 관할세관","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,재수입조건부수출잔량정보,OpenAPI,https://unipass.customs.go.kr,"재수입조건부 수출 잔량","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,출항허가항공 조회,OpenAPI,https://unipass.customs.go.kr,"항공 출항허가","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,출항허가해상 조회,OpenAPI,https://unipass.customs.go.kr,"해상 출항허가","로그인 후 현재 제공 여부 확인 필요"
unipass,candidate,UNI-PASS,관세청,하선신고목록조회,OpenAPI,https://unipass.customs.go.kr,"하선신고 목록","로그인 후 현재 제공 여부 확인 필요"
other_public_api,core,data.go.kr,대한무역투자진흥공사,해외시장뉴스,REST JSON/XML,https://www.data.go.kr/data/15034831/openapi.do,"해외시장 동향, 규제 변화, 현지 인기 상품, 통관 이슈",""
other_public_api,core,data.go.kr,대한무역투자진흥공사,기업성공사례,REST,https://www.data.go.kr/data/15034755/openapi.do,"유사 품목/시장 진출 사례 추천",""
other_public_api,core,data.go.kr,해양수산부,외항화물반출입정보,REST XML,https://www.data.go.kr/data/15056658/openapi.do,"항만명, 화물품목, 해외지역, 반출입구분, 수출입국가, 운임톤",""
other_public_api,core,data.go.kr,해양수산부,외항컨테이너반출입정보,REST XML,https://www.data.go.kr/data/15056658/openapi.do,"컨테이너 물동량과 항만 경로 분석","개별 링크 재확인 필요"
other_public_api,core,data.go.kr,조달청,나라장터 입찰공고정보서비스,REST JSON/XML,https://www.data.go.kr/data/15129394/openapi.do,"외자·물품 입찰공고, 공공조달 수요 발굴",""
other_public_api,important,data.go.kr,조달청,나라장터 조달요청서비스,REST JSON/XML,https://www.data.go.kr/data/15129468/openapi.do,"조달 요청 기반 수요 예측",""
other_public_api,important,data.go.kr,산업통상부,무역정보서비스안내,REST XML,https://www.data.go.kr/data/15001806/openapi.do,"무역정보, 해외거래, 진출 지원 정보",""
other_public_api,important,data.go.kr,식품의약품안전처,수입식품 제품DB 정보,REST JSON/XML,https://www.data.go.kr/data/15073949/openapi.do,"K-Food, 식품 수입 품목, 제조국, 제품명, 품목정보",""
other_public_api,important,data.go.kr,식품의약품안전처,수입식품 성분코드 정보,REST XML,https://www.data.go.kr/data/15094202/openapi.do,"식품 원료, 첨가물, 건강기능식품 성분 매핑",""
other_public_api,important,data.go.kr,식품의약품안전처,수입식품기준규격정보,REST XML,https://www.data.go.kr/data/15095371/openapi.do,"시험항목, 기준규격, 적부 판정 규칙",""
other_public_api,important,data.go.kr,식품의약품안전처,식품 원재료 정보 조회,REST,https://www.data.go.kr/data/15111913/openapi.do,"원재료명, 수입 여부, 원산지 국가코드",""
other_public_api,support,data.go.kr,식품의약품안전처,식품영양성분DB정보,REST JSON/XML,https://www.data.go.kr/data/15127578/openapi.do,"K-Food 품목 설명, 제품 속성 보강",""
other_public_api,important,data.go.kr,기상청,중기예보 조회서비스,REST XML,https://www.data.go.kr/data/15059468/openapi.do,"항만·공항 물류 지연 리스크 예측",""
other_public_api,important,data.go.kr,기상청,동네예보 조회서비스,LINK/TEXT,https://www.data.go.kr/data/15139470/openapi.do,"국내 물류 거점별 단기 날씨 리스크",""
other_public_api,support,data.go.kr,한국수출입은행,환율 정보,LINK,https://www.data.go.kr/tcs/dss/recommendDataList.do,"일반 환율 보강","관세 계산에는 관세청 관세환율 우선"
other_public_api,support,data.go.kr,국세청,사업자등록정보 진위확인 및 상태조회 서비스,REST,https://www.data.go.kr/tcs/dss/recommendDataList.do,"B2B 사용자 검증, 기업 고객 온보딩",""
other_public_api,support,data.go.kr,행정안전부,실시간 주소정보 조회,LINK,https://www.data.go.kr/tcs/dss/recommendDataList.do,"사업장/물류지 주소 정규화",""
other_public_api,support,data.go.kr,한국에너지공단,에너지사용 및 온실가스배출량 통계-마이크로데이터,REST JSON/XML,https://www.data.go.kr/data/15075918/openapi.do,"물류·품목별 ESG/탄소 리스크 분석",""
